entity_id,entity_kind,unified_id,label_en,qid,wikidata_url,wd_label,wd_description,instance_of,match_method,confidence
USKL_614f1ef3432b,skill,USKL_614f1ef3432b,Sidekiq,Q51002502,https://www.wikidata.org/wiki/Q51002502,Sidekiq,,,exact,high
USKL_859ab77d4bbf,skill,USKL_859ab77d4bbf,SignalR,Q7512622,https://www.wikidata.org/wiki/Q7512622,SignalR,,,exact,high
USKL_cbc0506b1365,skill,USKL_cbc0506b1365,Silk Performer,Q7515184,https://www.wikidata.org/wiki/Q7515184,Silk Performer,,,exact,high
USKL_8f4d497b29de,skill,USKL_8f4d497b29de,Siteminder,Q109536250,https://www.wikidata.org/wiki/Q109536250,Siteminder,,,exact,high
USKL_e2cd426cd27f,skill,USKL_e2cd426cd27f,Skybox,Q7537605,https://www.wikidata.org/wiki/Q7537605,Skybox,,,exact,high
USKL_14be97350e0e,skill,USKL_14be97350e0e,Smarty,Q726196,https://www.wikidata.org/wiki/Q726196,Smarty,,,exact+csv_seed,high
USKL_d25a56f665c2,skill,USKL_d25a56f665c2,SnapLogic,Q7547240,https://www.wikidata.org/wiki/Q7547240,SnapLogic,,,exact,high
USKL_37edda01b776,skill,USKL_37edda01b776,SoapUI,Q2296314,https://www.wikidata.org/wiki/Q2296314,SoapUI,,,exact,high
USKL_34ab3758e656,skill,USKL_34ab3758e656,Social Engineering,Q299257,https://www.wikidata.org/wiki/Q299257,Social engineering,,,alias,medium
USKL_4d52cfebb136,skill,USKL_4d52cfebb136,Software Updater,Q3347080,https://www.wikidata.org/wiki/Q3347080,Software Updater,,,exact,high
USKL_8d3046f1429d,skill,USKL_8d3046f1429d,Solaris Containers,Q1128477,https://www.wikidata.org/wiki/Q1128477,Solaris Containers,,,exact,high
USKL_99c7dec642ab,skill,USKL_99c7dec642ab,Solaris Trusted Extensions,Q27865945,https://www.wikidata.org/wiki/Q27865945,Solaris Trusted Extensions,,,exact,high
USKL_f00d69ffc22e,skill,USKL_f00d69ffc22e,Solution Deployment Descriptor,Q7558973,https://www.wikidata.org/wiki/Q7558973,Solution Deployment Descriptor,,,exact,high
USKL_816949cbb6cd,skill,USKL_816949cbb6cd,Spring Batch,Q7580383,https://www.wikidata.org/wiki/Q7580383,Spring Batch,,,exact,high
USKL_b151f0804046,skill,USKL_b151f0804046,Spring Security,Q4049968,https://www.wikidata.org/wiki/Q4049968,Spring Security,,,exact,high
USKL_f8ce6d046a47,skill,USKL_f8ce6d046a47,SpriteKit,Q120359479,https://www.wikidata.org/wiki/Q120359479,SpriteKit,,,exact,high
USKL_b453d598a877,skill,USKL_b453d598a877,Sqoop,Q773220,https://www.wikidata.org/wiki/Q773220,Sqoop,,,exact,high
USKL_37543665be69,skill,USKL_37543665be69,Squarespace,Q7582097,https://www.wikidata.org/wiki/Q7582097,Squarespace,,,exact,high
USKL_a719d74b81fb,skill,USKL_a719d74b81fb,Stack Overflow,Q549037,https://www.wikidata.org/wiki/Q549037,Stack Overflow,,,exact,high
USKL_436c232a02d1,skill,USKL_436c232a02d1,Stackdriver,Q17088889,https://www.wikidata.org/wiki/Q17088889,Google Cloud's operations suite,,,alias,medium
USKL_6b6033f11967,skill,USKL_6b6033f11967,StarTeam,Q7600567,https://www.wikidata.org/wiki/Q7600567,StarTeam,,,exact,high
USKL_40b700e959d7,skill,USKL_40b700e959d7,Stratus VOS,Q7622298,https://www.wikidata.org/wiki/Q7622298,Stratus VOS,,,exact,high
USKL_e63333620991,skill,USKL_e63333620991,StyleCop,Q7629378,https://www.wikidata.org/wiki/Q7629378,StyleCop,,,exact,high
USKL_af444441971b,skill,USKL_af444441971b,Sudo,Q5999725,https://www.wikidata.org/wiki/Q5999725,Sudo,,,exact,high
USKL_23c8701546ec,skill,USKL_23c8701546ec,SunOS,Q1208460,https://www.wikidata.org/wiki/Q1208460,SunOS,,,exact,high
USKL_71d8057198ec,skill,USKL_71d8057198ec,Svelte,Q16863097,https://www.wikidata.org/wiki/Q16863097,Svelte,,,exact+csv_seed,high
USKL_7131dee1b2c4,skill,USKL_7131dee1b2c4,Symbian,Q483318,https://www.wikidata.org/wiki/Q483318,Symbian,,,exact,high
USKL_c006ee5df7f3,skill,USKL_c006ee5df7f3,Symfony,Q1322933,https://www.wikidata.org/wiki/Q1322933,Symfony,,,exact+csv_seed,high
USKL_dfcfdb9dcfc2,skill,USKL_dfcfdb9dcfc2,Sympy,Q5971368,https://www.wikidata.org/wiki/Q5971368,SymPy,,,alias,medium
USKL_1462aef02156,skill,USKL_1462aef02156,System Configuration,Q15947664,https://www.wikidata.org/wiki/Q15947664,System Configuration,,,exact,high
USKL_d3bebbdf0f47,skill,USKL_d3bebbdf0f47,SystemC,Q1753563,https://www.wikidata.org/wiki/Q1753563,SystemC,,,exact,high
USKL_ff5418b358d5,skill,USKL_ff5418b358d5,Systems Engineering,Q15758606,https://www.wikidata.org/wiki/Q15758606,Systems Engineering,,,exact,high
USKL_3f994f478a7b,skill,USKL_3f994f478a7b,Systrace,Q7663906,https://www.wikidata.org/wiki/Q7663906,Systrace,,,exact,high
USKL_ad6d60cbd516,skill,USKL_ad6d60cbd516,TCP Wrapper,Q3049304,https://www.wikidata.org/wiki/Q3049304,TCP Wrapper,,,exact,high
USKL_38671a0aa44c,skill,USKL_38671a0aa44c,TIBCO Hawk,Q7670352,https://www.wikidata.org/wiki/Q7670352,TIBCO Hawk,,,exact,high
USKL_009dfefd147a,skill,USKL_009dfefd147a,TYPO3,Q618512,https://www.wikidata.org/wiki/Q618512,TYPO3,,,exact,high
USKL_75761ce95885,skill,USKL_75761ce95885,TargetLink,Q2394119,https://www.wikidata.org/wiki/Q2394119,TargetLink,,,exact,high
USKL_09dd1dfac734,skill,USKL_09dd1dfac734,TeamForge,Q2379026,https://www.wikidata.org/wiki/Q2379026,TeamForge,,,exact,high
USKL_29d58ea8fd6e,skill,USKL_29d58ea8fd6e,TeamCity,Q4050768,https://www.wikidata.org/wiki/Q4050768,TeamCity,,,exact,high
USKL_c666baed955d,skill,USKL_c666baed955d,Telecommunications,Q96334266,https://www.wikidata.org/wiki/Q96334266,Telecommunications,,,exact,high
USKL_bf994c19d98a,skill,USKL_bf994c19d98a,Telegraf,Q119859727,https://www.wikidata.org/wiki/Q119859727,Telegraf,,,exact,high
USKL_021897ea03e6,skill,USKL_021897ea03e6,Telephony,Q96334271,https://www.wikidata.org/wiki/Q96334271,Telephony,,,exact,high
USKL_9961e5aa80c1,skill,USKL_9961e5aa80c1,Telnet,Q3517414,https://www.wikidata.org/wiki/Q3517414,Telnet,,,exact,high
USKL_7547956989f3,skill,USKL_7547956989f3,Terraform,Q50649493,https://www.wikidata.org/wiki/Q50649493,Terraform,,,exact,high
USKL_14ab6e470134,skill,USKL_14ab6e470134,TestFlight,Q21041366,https://www.wikidata.org/wiki/Q21041366,TestFlight,,,exact,high
USKL_2795f4673863,skill,USKL_2795f4673863,ThreadX,Q7797161,https://www.wikidata.org/wiki/Q7797161,ThreadX,,,exact,high
USKL_11359e9f08c0,skill,USKL_11359e9f08c0,Three.js,Q3525922,https://www.wikidata.org/wiki/Q3525922,Three.js,,,exact,high
USKL_853e15df954c,skill,USKL_853e15df954c,Thymeleaf,Q3526177,https://www.wikidata.org/wiki/Q3526177,Thymeleaf,,,exact,high
USKL_c390d35814bb,skill,USKL_c390d35814bb,Tizen,Q609306,https://www.wikidata.org/wiki/Q609306,Tizen,,,exact,high
USKL_cf7a91b87fba,skill,USKL_cf7a91b87fba,TopLink,Q339461,https://www.wikidata.org/wiki/Q339461,TopLink,,,exact,high
USKL_8c90b1cf8f22,skill,USKL_8c90b1cf8f22,TortoiseSVN,Q1062467,https://www.wikidata.org/wiki/Q1062467,TortoiseSVN,,,exact,high
USKL_c20c7da71f07,skill,USKL_c20c7da71f07,Traefik,Q96332968,https://www.wikidata.org/wiki/Q96332968,Traefik Proxy,,,alias,medium
USKL_af5e8d25121e,skill,USKL_af5e8d25121e,Travis CI,Q73134,https://www.wikidata.org/wiki/Q73134,Travis CI,,,exact,high
USKL_798c5036643d,skill,USKL_798c5036643d,Tridion,Q110262564,https://www.wikidata.org/wiki/Q110262564,Tridion,,,exact,high
USKL_5d269dfa4af3,skill,USKL_5d269dfa4af3,Triple DES,Q134983,https://www.wikidata.org/wiki/Q134983,Triple DES,,,exact,high
USKL_ba86cdfdb518,skill,USKL_ba86cdfdb518,Twilio,Q7858039,https://www.wikidata.org/wiki/Q7858039,Twilio,,,exact,high
USKL_ed954f73e9a3,skill,USKL_ed954f73e9a3,Typesafe,Q16878480,https://www.wikidata.org/wiki/Q16878480,Typesafe,,,exact,high
USKL_b43ff4d41d44,skill,USKL_b43ff4d41d44,USB,Q223594,https://www.wikidata.org/wiki/Q223594,USB,,,exact,high
USKL_f9910faa9a28,skill,USKL_f9910faa9a28,UIKit,Q117480832,https://www.wikidata.org/wiki/Q117480832,UIKit,,,exact,high
USKL_8c650731be85,skill,USKL_8c650731be85,Umbraco,Q285761,https://www.wikidata.org/wiki/Q285761,Umbraco,,,exact,high
USKL_dc3a043bdb2e,skill,USKL_dc3a043bdb2e,Underscore.js,Q4052375,https://www.wikidata.org/wiki/Q4052375,Underscore.js,,,exact,high
USKL_fd23a1c111d3,skill,USKL_fd23a1c111d3,Unisys DMSII,Q17027613,https://www.wikidata.org/wiki/Q17027613,Unisys DMSII,,,exact,high
USKL_89a49168127c,skill,USKL_89a49168127c,Unobtrusive JavaScript,Q2298909,https://www.wikidata.org/wiki/Q2298909,Unobtrusive JavaScript,,,exact,high
USKL_891dda65c5c1,skill,USKL_891dda65c5c1,VMware Fusion,Q935100,https://www.wikidata.org/wiki/Q935100,VMware Fusion,,,exact,high
USKL_b1b32ff0bc22,skill,USKL_b1b32ff0bc22,VMware Horizon View,Q4052548,https://www.wikidata.org/wiki/Q4052548,Omnissa Horizon,,,alias,medium
USKL_18e9cf67c66c,skill,USKL_18e9cf67c66c,VMware Infrastructure,Q7907330,https://www.wikidata.org/wiki/Q7907330,VMware Infrastructure,,,exact,high
USKL_8ca4c70d3979,skill,USKL_8ca4c70d3979,VMware Player,Q742347,https://www.wikidata.org/wiki/Q742347,VMware Workstation Player,,,alias,medium
USKL_8fe69abfd11b,skill,USKL_8fe69abfd11b,VMware ThinApp,Q2036703,https://www.wikidata.org/wiki/Q2036703,VMware ThinApp,,,exact,high
USKL_011b3d0a10fe,skill,USKL_011b3d0a10fe,VMware VMFS,Q7907332,https://www.wikidata.org/wiki/Q7907332,VMware VMFS,,,exact,high
USKL_b7b3a2aa2dcd,skill,USKL_b7b3a2aa2dcd,Vaadin,Q1400683,https://www.wikidata.org/wiki/Q1400683,Vaadin,,,exact,high
USKL_e4317fa47c62,skill,USKL_e4317fa47c62,Valgrind,Q924041,https://www.wikidata.org/wiki/Q924041,Valgrind,,,exact,high
USKL_b8d7e7de67e7,skill,USKL_b8d7e7de67e7,Vector Markup Language,Q1888930,https://www.wikidata.org/wiki/Q1888930,Vector Markup Language,,,exact,high
USKL_ed1f9ce31341,skill,USKL_ed1f9ce31341,Verisign,Q734338,https://www.wikidata.org/wiki/Q734338,Verisign,,,exact,high
USKL_9af3de6e0303,skill,USKL_9af3de6e0303,Veritas Software,Q498397,https://www.wikidata.org/wiki/Q498397,Veritas Software,,,exact,high
USKL_27f8c52692a7,skill,USKL_27f8c52692a7,Vert.x,Q7922736,https://www.wikidata.org/wiki/Q7922736,Vert.x,,,exact,high
USKL_49ed189a25a5,skill,USKL_49ed189a25a5,Vim,Q181174,https://www.wikidata.org/wiki/Q181174,Vim,,,exact,high
USKL_f593556dd176,skill,USKL_f593556dd176,Virtual Machine Manager,Q3266778,https://www.wikidata.org/wiki/Q3266778,Virtual Machine Manager,,,exact,high
USKL_ed78e0993202,skill,USKL_ed78e0993202,VirtualBox,Q11393,https://www.wikidata.org/wiki/Q11393,VirtualBox,,,exact,high
USKL_48924035ba42,skill,USKL_48924035ba42,Virtuozzo,Q1781915,https://www.wikidata.org/wiki/Q1781915,Virtuozzo,,,exact,high
USKL_e8ce18ad917a,skill,USKL_e8ce18ad917a,Visibroker,Q7936097,https://www.wikidata.org/wiki/Q7936097,Visibroker,,,exact,high
USKL_4b44640e995f,skill,USKL_4b44640e995f,Visual Objects,Q1309721,https://www.wikidata.org/wiki/Q1309721,Visual Objects,,,exact,high
USKL_c68b3c56f8e2,skill,USKL_c68b3c56f8e2,VisualVM,Q7936520,https://www.wikidata.org/wiki/Q7936520,VisualVM,,,exact,high
USKL_5efc89af46ec,skill,USKL_5efc89af46ec,Vowpal Wabbit,Q7942323,https://www.wikidata.org/wiki/Q7942323,Vowpal Wabbit,,,exact,high
USKL_0ebf49e09196,skill,USKL_0ebf49e09196,Vuetify,Q112943923,https://www.wikidata.org/wiki/Q112943923,Vuetify,,,exact,high
USKL_746e9da885eb,skill,USKL_746e9da885eb,Vuex,Q61940611,https://www.wikidata.org/wiki/Q61940611,Vuex,,,exact,high
USKL_a466c5a01da6,skill,USKL_a466c5a01da6,Vuforia,Q7943341,https://www.wikidata.org/wiki/Q7943341,Vuforia Augmented Reality SDK,,,alias,medium
USKL_96f73f2b7aa9,skill,USKL_96f73f2b7aa9,VxWorks,Q757165,https://www.wikidata.org/wiki/Q757165,VxWorks,,,exact,high
USKL_aafceefe59a5,skill,USKL_aafceefe59a5,WYSIWYG,Q7958158,https://www.wikidata.org/wiki/Q7958158,WYSIWYG,,,exact,high
USKL_f21eb322fdc1,skill,USKL_f21eb322fdc1,Wear OS,Q15961745,https://www.wikidata.org/wiki/Q15961745,Wear OS,,,exact,high
USKL_c3f456f3e4ae,skill,USKL_c3f456f3e4ae,Wearables,Q114397135,https://www.wikidata.org/wiki/Q114397135,Wearables,,,exact,high
USKL_0f5f15f2a396,skill,USKL_0f5f15f2a396,Web Applications,Q110262472,https://www.wikidata.org/wiki/Q110262472,Web Applications,,,exact,high
USKL_c504f3d979c2,skill,USKL_c504f3d979c2,Web Design,Q28777982,https://www.wikidata.org/wiki/Q28777982,Category:Link extensions,,,alias,medium
USKL_e964644f2acb,skill,USKL_e964644f2acb,Web Dynpro,Q1804792,https://www.wikidata.org/wiki/Q1804792,Web Dynpro,,,exact,high
USKL_05e586448400,skill,USKL_05e586448400,Web Language,Q1119743,https://www.wikidata.org/wiki/Q1119743,Web Language,,,exact,high
USKL_afe141170852,skill,USKL_afe141170852,WebAssembly,Q20155677,https://www.wikidata.org/wiki/Q20155677,WebAssembly,,,exact+csv_seed,high
USKL_f6d5433e30f5,skill,USKL_f6d5433e30f5,WebConfig,Q7978440,https://www.wikidata.org/wiki/Q7978440,WebConfig,,,exact,high
USKL_38b56fca0cd9,skill,USKL_38b56fca0cd9,WebGL,Q375913,https://www.wikidata.org/wiki/Q375913,WebGL,,,exact,high
USKL_914dfc8b1bea,skill,USKL_914dfc8b1bea,WebKit,Q654034,https://www.wikidata.org/wiki/Q654034,WebKit,,,exact,high
USKL_3563e073cbbd,skill,USKL_3563e073cbbd,WebOS,Q305873,https://www.wikidata.org/wiki/Q305873,webOS,,,alias,medium
USKL_b90651726a46,skill,USKL_b90651726a46,WebStorm,Q4053021,https://www.wikidata.org/wiki/Q4053021,WebStorm,,,exact,high
USKL_e20aded8b007,skill,USKL_e20aded8b007,Webmin,Q576322,https://www.wikidata.org/wiki/Q576322,Webmin,,,exact,high
USKL_7223b6528642,skill,USKL_7223b6528642,Weebly,Q2705110,https://www.wikidata.org/wiki/Q2705110,Weebly,,,exact,high
USKL_23c221b4c2fa,skill,USKL_23c221b4c2fa,Wget,Q535461,https://www.wikidata.org/wiki/Q535461,Wget,,,exact,high
USKL_3e238ceb4cfa,skill,USKL_3e238ceb4cfa,Wi-Fi Protected Access,Q272165,https://www.wikidata.org/wiki/Q272165,Wi-Fi Protected Access,,,exact,high
USKL_37678393355a,skill,USKL_37678393355a,Wikimedia,Q2492014,https://www.wikidata.org/wiki/Q2492014,Wikimedia,,,exact,high
USKL_20311a197081,skill,USKL_20311a197081,WinJS,Q16689197,https://www.wikidata.org/wiki/Q16689197,WinJS,,,exact,high
USKL_c3d8609ba9ee,skill,USKL_c3d8609ba9ee,WinZip,Q688317,https://www.wikidata.org/wiki/Q688317,WinZip,,,exact,high
USKL_c8acff087510,skill,USKL_c8acff087510,Winbatch,Q8023687,https://www.wikidata.org/wiki/Q8023687,Winbatch,,,exact,high
USKL_1648a8493ab0,skill,USKL_1648a8493ab0,Windows App Studio,Q17089974,https://www.wikidata.org/wiki/Q17089974,Windows App Studio,,,exact,high
USKL_bd37ff45694f,skill,USKL_bd37ff45694f,Windows Communication Foundation,Q261595,https://www.wikidata.org/wiki/Q261595,Windows Communication Foundation,,,exact,high
USKL_c18fda1e83e8,skill,USKL_c18fda1e83e8,Windows Console,Q2994643,https://www.wikidata.org/wiki/Q2994643,Windows Console,,,exact,high
USKL_7dd7c4bb6b18,skill,USKL_7dd7c4bb6b18,Windows Defender,Q243269,https://www.wikidata.org/wiki/Q243269,Microsoft Defender Antivirus,,,alias,medium
USKL_f44692ddc6b0,skill,USKL_f44692ddc6b0,Windows Deployment Services,Q639977,https://www.wikidata.org/wiki/Q639977,Windows Deployment Services,,,exact,high
USKL_fcf56a1dc459,skill,USKL_fcf56a1dc459,Windows Driver Kit,Q1062428,https://www.wikidata.org/wiki/Q1062428,Windows Driver Kit,,,exact,high
USKL_59f1431ad292,skill,USKL_59f1431ad292,Windows Embedded,Q1314632,https://www.wikidata.org/wiki/Q1314632,Windows IoT,,,alias,medium
USKL_81b7c9c5cce7,skill,USKL_81b7c9c5cce7,Windows Firewall,Q1068438,https://www.wikidata.org/wiki/Q1068438,Windows Firewall,,,exact,high
USKL_3742d2a91258,skill,USKL_3742d2a91258,Windows Installer,Q181233,https://www.wikidata.org/wiki/Q181233,Windows Installer,,,exact,high
USKL_75508285b215,skill,USKL_75508285b215,Windows Mail,Q736141,https://www.wikidata.org/wiki/Q736141,Windows Mail,,,exact,high
USKL_2aaa12926936,skill,USKL_2aaa12926936,Windows Management Instrumentation,Q1423114,https://www.wikidata.org/wiki/Q1423114,Windows Management Instrumentation,,,exact,high
USKL_ed306bd645ac,skill,USKL_ed306bd645ac,Windows Media,Q1189357,https://www.wikidata.org/wiki/Q1189357,Windows Media,,,exact,high
USKL_d05c2ecb21ca,skill,USKL_d05c2ecb21ca,Windows Mobile,Q21207,https://www.wikidata.org/wiki/Q21207,Windows Mobile,,,exact,high
USKL_fa2a2256fb06,skill,USKL_fa2a2256fb06,Windows Phone,Q110262548,https://www.wikidata.org/wiki/Q110262548,Windows Phone,,,exact,high
USKL_a610a6224aba,skill,USKL_a610a6224aba,Windows Presentation Foundation,Q239084,https://www.wikidata.org/wiki/Q239084,Windows Presentation Foundation,,,exact,high
USKL_285acb716cde,skill,USKL_285acb716cde,Windows Registry,Q463244,https://www.wikidata.org/wiki/Q463244,Windows Registry,,,exact,high
USKL_8a5c63851e8b,skill,USKL_8a5c63851e8b,Windows Script Host,Q1152468,https://www.wikidata.org/wiki/Q1152468,Windows Script Host,,,exact,high
USKL_2bdfd701e066,skill,USKL_2bdfd701e066,Windows Search,Q1194815,https://www.wikidata.org/wiki/Q1194815,Windows Search,,,exact,high
USKL_e7388f99b0da,skill,USKL_e7388f99b0da,Windows Server Virtualization,Q11278,https://www.wikidata.org/wiki/Q11278,Q11278,,,alias,medium
USKL_c4443559d9dc,skill,USKL_c4443559d9dc,Windows USER,Q8024460,https://www.wikidata.org/wiki/Q8024460,Windows USER,,,exact,high
USKL_d800ec548e2e,skill,USKL_d800ec548e2e,Windows Virtual PC,Q748417,https://www.wikidata.org/wiki/Q748417,Windows Virtual PC,,,exact,high
USKL_6f51d5503149,skill,USKL_6f51d5503149,Windows Workflow Foundation,Q1154450,https://www.wikidata.org/wiki/Q1154450,Windows Workflow Foundation,,,exact,high
USKL_d2bdf9a97377,skill,USKL_d2bdf9a97377,Wix,Q2586995,https://www.wikidata.org/wiki/Q2586995,Wix,,,exact,high
USKL_d46be82d28f4,skill,USKL_d46be82d28f4,Workgroup Manager,Q4020840,https://www.wikidata.org/wiki/Q4020840,Workgroup Manager,,,exact,high
USKL_4e32f985b80c,skill,USKL_4e32f985b80c,Wufoo,Q126084774,https://www.wikidata.org/wiki/Q126084774,Wufoo,,,exact,high
